T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
800,15,0.4,0.6,20.42,22.689,-1.64,26.204,5.694,19.694,23.841,24.846,25.608,2.7859,3.662,0.95,0.01
800,15,0.4,0.6,22.949,24.045,-1.182,26.831,4.039,23.225,24.66,25.491,25.917,2.7859,3.662,0.98%,0.012
800,15,0.4,0.6,23.289,24.136,-1.993,26.7,3.654,23.415,24.751,25.511,26.15,2.7859,3.662,0.99%,0.0125
800,15,0.4,0.6,23.535,24.226,-0.664,26.922,3.288,23.539,24.815,25.665,26.225,2.7859,3.662,0.98%,0.013
800,15,0.4,0.6,24.14,24.38,-0.423,26.975,1.964,23.829,24.879,25.637,26.102,2.7859,3.662,1.00%,0.015
800,15,0.4,0.6,24.212,24.238,2.066,26.787,1.147,23.711,24.764,25.51,26.02,2.7859,3.662,1.00%,0.02
800,15,0.4,0.6,14.848,16.719,-2.327,24.955,6.599,10.136,20.281,22.664,23.584,2.7859,3.662,0.88%,0.008
800,15,0.4,0.6,12.944,14.295,-2.72,24.007,6.531,7.911,18.471,21.532,22.713,2.7859,3.662,0.86%,0.0075
800,15,0.4,0.6,11.134,11.849,-3.041,23.366,6.179,6.093,16.304,19.994,21.647,2.7859,3.662,0.81%,0.007
800,15,0.4,0.6,4.533,4.187,-2.772,16.991,3.379,1.885,6.899,10.501,12.571,2.7859,3.662,0.56%,0.005
800,15,0.4,0.6,0.904,0.905,-3.662,5.187,1.334,0.03,1.829,3.081,3.962,2.7859,3.662,0.08%,0.001
